SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,OPPPONENTS
22012,977,21200347,"DEC 16, 2012",LAL @ PHI,W,40,12,21,0.571,2,6,0.333,8,9,0.889,0,4,4,6,1,0,5,0,34,10,1,PHI
22012,977,21200326,"DEC 14, 2012",LAL @ WAS,W,44,9,29,0.31,1,8,0.125,11,13,0.846,3,4,7,7,2,1,3,1,30,17,1,WAS
22012,977,21200323,"DEC 13, 2012",LAL @ NYK,L,44,10,24,0.417,5,11,0.455,6,6,1,2,8,10,6,1,1,5,5,31,0,1,NYK
22012,977,21200305,"DEC 11, 2012",LAL @ CLE,L,41,16,28,0.571,3,9,0.333,7,10,0.7,1,4,5,2,1,1,5,1,42,-9,1,CLE
22012,977,21200297,"DEC 09, 2012",LAL vs. UTA,L,43,9,24,0.375,4,9,0.444,12,14,0.857,0,0,0,3,1,0,2,2,34,-2,1,UTA
22012,977,21200280,"DEC 07, 2012",LAL @ OKC,L,44,11,24,0.458,4,5,0.8,9,10,0.9,0,3,3,7,3,2,5,5,35,-2,0,OKC
22012,977,21200263,"DEC 05, 2012",LAL @ NOH,W,34,10,17,0.588,1,4,0.25,8,9,0.889,1,5,6,4,3,0,1,1,29,15,1,NOP
22012,977,21200256,"DEC 04, 2012",LAL @ HOU,L,35,14,31,0.452,2,9,0.222,9,12,0.75,1,5,6,2,2,0,3,4,39,-4,1,HOU
22012,977,21200244,"DEC 02, 2012",LAL vs. ORL,L,39,12,27,0.444,0,2,0,10,11,0.909,1,6,7,5,1,0,2,2,34,-17,1,ORL
22012,977,21200232,"NOV 30, 2012",LAL vs. DEN,W,37,5,15,0.333,0,3,0,4,4,1,1,1,2,8,2,0,4,5,14,9,1,DEN
22012,977,21200208,"NOV 27, 2012",LAL vs. IND,L,44,12,28,0.429,5,11,0.455,11,13,0.846,0,10,10,3,3,0,10,2,40,-4,1,IND
22012,977,21200187,"NOV 24, 2012",LAL @ DAL,W,33,6,11,0.545,1,2,0.5,6,8,0.75,1,2,3,5,1,0,6,3,19,25,1,DAL
22012,977,21200177,"NOV 23, 2012",LAL @ MEM,L,37,7,23,0.304,3,8,0.375,13,14,0.929,0,3,3,4,1,0,2,4,30,-22,1,MEM
22012,977,21200169,"NOV 21, 2012",LAL @ SAC,L,39,11,20,0.55,5,9,0.556,11,13,0.846,0,3,3,3,2,0,7,3,38,1,1,SAC
22012,977,21200156,"NOV 20, 2012",LAL vs. BKN,W,39,8,15,0.533,1,4,0.25,8,10,0.8,0,4,4,5,1,0,3,4,25,20,1,BKN
22012,977,21200146,"NOV 18, 2012",LAL vs. HOU,W,35,9,18,0.5,1,3,0.333,3,5,0.6,1,10,11,11,3,0,3,4,22,14,1,HOU
22012,977,21200130,"NOV 16, 2012",LAL vs. PHX,W,38,10,24,0.417,1,5,0.2,10,11,0.909,1,1,2,6,1,0,1,2,31,7,1,PHX
22012,977,21200108,"NOV 13, 2012",LAL vs. SAS,L,38,12,19,0.632,2,4,0.5,2,2,1,0,4,4,8,1,0,2,0,28,10,1,SAS
22012,977,21200094,"NOV 11, 2012",LAL vs. SAC,W,34,6,15,0.4,2,5,0.4,6,6,1,2,4,6,6,1,0,2,2,20,18,1,SAC
22012,977,21200080,"NOV 09, 2012",LAL vs. GSW,W,33,10,18,0.556,2,4,0.5,5,6,0.833,1,8,9,7,2,0,4,2,27,18,1,GSW
22012,977,21200062,"NOV 07, 2012",LAL @ UTA,L,37,7,17,0.412,0,4,0,15,17,0.882,0,5,5,4,3,0,6,3,29,4,1,UTA
22012,977,21200041,"NOV 04, 2012",LAL vs. DET,W,32,5,10,0.5,3,5,0.6,2,2,1,0,7,7,8,1,0,1,4,15,38,1,DET
22012,977,21200025,"NOV 02, 2012",LAL vs. LAC,L,43,14,23,0.609,2,3,0.667,10,10,1,2,4,6,1,2,0,6,1,40,-7,1,LAC
22012,977,21200012,"OCT 31, 2012",LAL @ POR,L,38,10,20,0.5,4,9,0.444,6,7,0.857,2,4,6,3,0,0,7,5,30,9,1,POR
22012,977,21200003,"OCT 30, 2012",LAL vs. DAL,L,35,11,14,0.786,0,0,0,0,0,0,0,1,1,0,1,0,2,3,22,-1,1,DAL
22011,977,21100952,"APR 22, 2012",LAL vs. OKC,W,49,9,26,0.346,2,3,0.667,6,7,0.857,1,5,6,8,1,0,3,1,26,8,0,OKC
22011,977,21100941,"APR 20, 2012",LAL @ SAS,L,30,7,12,0.583,1,3,0.333,3,4,0.75,0,2,2,1,0,0,1,2,18,-24,0,SAS
22011,977,21100825,"APR 06, 2012",LAL vs. HOU,L,37,8,20,0.4,1,4,0.25,11,11,1,0,2,2,0,0,0,1,1,28,-16,0,HOU
22011,977,21100810,"APR 04, 2012",LAL @ LAC,W,37,13,19,0.684,2,3,0.667,3,5,0.6,1,4,5,6,0,1,2,2,31,8,0,LAC
22011,977,21100798,"APR 03, 2012",LAL vs. NJN,W,36,10,16,0.625,3,6,0.5,1,1,1,0,7,7,3,1,0,3,1,24,1,0,BKN
22011,977,21100784,"APR 01, 2012",LAL vs. GSW,W,37,16,28,0.571,3,3,1,5,7,0.714,0,3,3,5,0,0,3,3,40,13,0,GSW
22011,977,21100769,"MAR 31, 2012",LAL vs. NOH,W,38,3,21,0.143,1,8,0.125,4,5,0.8,1,2,3,5,3,0,1,4,11,4,0,NOP
22011,977,21100756,"MAR 29, 2012",LAL vs. OKC,L,41,7,25,0.28,1,3,0.333,8,10,0.8,1,8,9,2,0,0,0,1,23,2,0,OKC
22011,977,21100742,"MAR 27, 2012",LAL @ GSW,W,37,9,24,0.375,1,5,0.2,11,12,0.917,2,3,5,5,0,0,3,1,30,3,0,GSW
22011,977,21100726,"MAR 25, 2012",LAL vs. MEM,L,38,7,15,0.467,1,4,0.25,3,3,1,1,2,3,3,2,0,3,3,18,-6,0,MEM
22011,977,21100709,"MAR 23, 2012",LAL vs. POR,W,36,5,17,0.294,1,7,0.143,7,8,0.875,2,3,5,4,1,0,4,1,18,2,0,POR
22011,977,21100692,"MAR 21, 2012",LAL @ DAL,W,35,11,18,0.611,1,2,0.5,7,7,1,1,4,5,4,1,0,4,2,30,9,0,DAL
22011,977,21100679,"MAR 20, 2012",LAL @ HOU,L,35,10,27,0.37,2,7,0.286,7,7,1,1,2,3,4,1,0,1,2,29,-3,0,HOU
22011,977,21100669,"MAR 18, 2012",LAL vs. UTA,L,37,3,20,0.15,1,6,0.167,8,9,0.889,2,4,6,4,2,0,7,4,15,-11,0,UTA
22011,977,21100652,"MAR 16, 2012",LAL vs. MIN,W,38,9,20,0.45,5,8,0.625,5,7,0.714,0,4,4,3,1,2,4,1,28,4,0,MIN
22011,977,21100631,"MAR 14, 2012",LAL @ NOH,W,49,10,23,0.435,2,8,0.25,11,11,1,1,3,4,5,2,0,4,1,33,8,0,NOP
22011,977,21100621,"MAR 13, 2012",LAL @ MEM,W,52,11,25,0.44,1,4,0.25,11,12,0.917,1,8,9,5,1,0,3,0,34,-1,0,MEM
22011,977,21100604,"MAR 11, 2012",LAL vs. BOS,W,41,9,20,0.45,3,6,0.5,5,7,0.714,1,2,3,7,1,1,5,2,26,0,0,BOS
22011,977,21100589,"MAR 09, 2012",LAL @ MIN,W,38,11,26,0.423,2,6,0.333,10,10,1,1,3,4,1,1,2,4,3,34,-3,0,MIN
22011,977,21100571,"MAR 07, 2012",LAL @ WAS,L,40,9,31,0.29,3,9,0.333,9,9,1,1,4,5,4,4,1,1,3,30,5,0,WAS
22011,977,21100567,"MAR 06, 2012",LAL @ DET,L,43,8,26,0.308,2,9,0.222,4,6,0.667,1,4,5,7,0,0,3,1,22,1,0,DET
22011,977,21100547,"MAR 04, 2012",LAL vs. MIA,W,39,14,23,0.609,0,2,0,5,7,0.714,1,2,3,1,0,0,3,0,33,8,0,MIA
22011,977,21100538,"MAR 02, 2012",LAL vs. SAC,W,37,13,24,0.542,1,2,0.5,11,14,0.786,4,4,8,3,1,1,3,0,38,13,0,SAC
22011,977,21100523,"FEB 29, 2012",LAL vs. MIN,W,33,11,23,0.478,0,4,0,9,10,0.9,1,6,7,8,1,0,5,0,31,28,0,MIN
22011,977,21100502,"FEB 23, 2012",LAL @ OKC,L,40,7,24,0.292,0,3,0,10,11,0.909,1,5,6,3,1,0,1,3,24,-13,0,OKC
22011,977,21100497,"FEB 22, 2012",LAL @ DAL,W,38,4,15,0.267,2,5,0.4,5,9,0.556,1,4,5,4,1,0,7,1,15,3,0,DAL
22011,977,21100479,"FEB 20, 2012",LAL vs. POR,W,36,13,26,0.5,1,3,0.333,1,2,0.5,1,2,3,3,4,0,4,3,28,15,0,POR
22011,977,21100469,"FEB 19, 2012",LAL @ PHX,L,40,11,24,0.458,1,8,0.125,9,12,0.75,1,6,7,5,2,0,10,0,32,-9,0,PHX
22011,977,21100455,"FEB 17, 2012",LAL vs. PHX,W,35,14,25,0.56,1,2,0.5,7,9,0.778,0,9,9,6,4,1,3,1,36,4,0,PHX
22011,977,21100428,"FEB 14, 2012",LAL vs. ATL,W,34,5,18,0.278,0,3,0,0,0,0,1,3,4,4,0,0,5,3,10,3,0,ATL
22011,977,21100408,"FEB 12, 2012",LAL @ TOR,W,34,9,23,0.391,3,7,0.429,6,8,0.75,0,2,2,1,2,0,4,1,27,7,0,TOR
22011,977,21100395,"FEB 10, 2012",LAL @ NYK,L,42,11,29,0.379,1,5,0.2,11,13,0.846,3,7,10,1,1,0,3,0,34,-4,0,NYK
22011,977,21100384,"FEB 09, 2012",LAL @ BOS,W,44,11,24,0.458,0,2,0,5,5,1,0,5,5,4,0,0,1,1,27,2,0,BOS
22011,977,21100357,"FEB 06, 2012",LAL @ PHI,L,44,10,26,0.385,4,10,0.4,4,4,1,3,2,5,6,2,0,5,3,28,1,0,PHI
22011,977,21100351,"FEB 04, 2012",LAL @ UTA,L,38,6,16,0.375,3,6,0.5,11,12,0.917,1,0,1,1,0,0,4,4,26,-6,0,UTA
22011,977,21100341,"FEB 03, 2012",LAL @ DEN,W,38,7,23,0.304,1,4,0.25,5,7,0.714,1,5,6,9,2,0,2,1,20,6,0,DEN
22011,977,21100313,"JAN 31, 2012",LAL vs. CHA,W,28,9,21,0.429,2,11,0.182,4,5,0.8,0,3,3,1,1,0,4,1,24,8,0,CHA
22011,977,21100297,"JAN 29, 2012",LAL @ MIN,W,42,14,29,0.483,5,9,0.556,2,2,1,3,11,14,2,0,2,3,2,35,3,0,MIN
22011,977,21100288,"JAN 28, 2012",LAL @ MIL,L,42,10,21,0.476,1,5,0.2,6,7,0.857,3,5,8,9,2,0,4,4,27,1,0,MIL
